Codigo Pais,Region,Año,Tasa de natalidad,Tasa de mortalidad,Consumo de energía eléctrica (kWh per cápita),PIB (USD),PIB per cápita (USD),Personas que utilizan Internet (% de la población),Tasa de mortalidad infantil,Esperanza de vida al nacer (años),Densidad de población (habitantes por km2 de superficie terrestre),Desempleo (% de la fuerza laboral total)
0,0,2014,12.259,7.219,2309.37,13228200000.0,4578.67,60.1,8.9,77.813,105.442,17.49
0,0,2013,12.257,7.096,2533.25,12776300000.0,4413.08,57.2,9.5,77.554,105.66,15.866
0,0,2012,12.197,6.996,2118.33,12319800000.0,4247.61,54.656,10.2,77.252,105.854,13.376
0,0,2011,12.1,6.915,2205.7,12890900000.0,4437.18,49.0,11.0,76.914,106.029,13.481
0,0,2010,12.001,6.841,1943.34,11927000000.0,4094.36,45.0,11.9,76.562,106.315,14.086
0,0,2009,11.945,6.756,1835.68,12044200000.0,4114.13,41.2,12.9,76.221,106.844,13.674
0,0,2008,11.973,6.65,1617.74,12881400000.0,4370.54,23.86,13.9,75.912,107.566,13.06
0,0,2007,12.118,6.518,1213.12,10677300000.0,3595.04,15.0361,14.9,75.646,108.395,15.966
0,0,2006,12.398,6.365,1218.36,8896070000.0,2972.74,9.60999,16.0,75.423,109.217,16.394
0,0,2005,12.821,6.206,1722.07,8052080000.0,2673.79,6.04389,17.1,75.228,109.908,16.874
0,0,2004,13.381,6.061,1797.53,7184680000.0,2373.58,2.42039,18.3,75.039,110.472,17.272
0,0,2003,14.048,5.952,1469.26,5611490000.0,1846.12,0.9719,19.4,74.828,110.935,17.496
0,0,2002,14.79,5.891,1578.17,4348070000.0,1425.12,0.390081,20.6,74.579,111.351,17.51
0,0,2001,15.59,5.879,1351.23,3922100000.0,1281.66,0.325798,21.8,74.288,111.685,17.411
0,0,2000,16.436,5.914,1449.65,3480360000.0,1126.68,0.114097,23.0,73.955,112.738,17.767
0,0,1999,17.321,5.983,1414.7,3212120000.0,1033.24,0.081437,24.2,73.587,113.459,18.569
0,0,1998,18.238,6.067,734.85,2545970000.0,813.79,0.0650274,25.4,73.208,114.18,18.323
0,0,1997,19.173,6.147,694.665,2258520000.0,717.381,0.0485939,26.7,72.838,114.901,18.311
0,0,1996,20.106,6.213,904.347,3199640000.0,1009.98,0.0321968,27.9,72.495,115.622,18.358
0,0,1995,21.02,6.25,663.784,2392760000.0,750.604,0.0111687,29.1,72.205,116.342,17.607
1,1,2014,25.538,4.709,1362.87,214000000000.0,5493.06,29.5,21.8,75.878,16.3425,10.207
1,1,2013,25.451,4.699,1278.92,210000000000.0,5499.59,22.5,22.1,75.661,16.0136,9.82
1,1,2012,25.246,4.685,1237.97,209000000000.0,5592.22,18.2,22.4,75.436,15.696,10.97
1,1,2011,24.934,4.67,1123.33,200000000000.0,5455.84,14.9,22.9,75.199,15.3927,9.96
1,1,2010,24.504,4.656,1016.64,161000000000.0,4480.79,12.5,23.5,74.938,15.1055,9.96
1,1,2009,23.932,4.643,866.307,137000000000.0,3883.27,11.23,24.3,74.644,14.8353,10.16
1,1,2008,23.226,4.637,947.291,171000000000.0,4923.63,10.18,25.3,74.311,14.582,11.33
1,1,2007,22.424,4.639,894.285,135000000000.0,3950.51,9.45119,26.4,73.936,14.3454,13.79
1,1,2006,21.582,4.651,862.43,117000000000.0,3478.71,7.37598,27.5,73.521,14.1245,12.27
1,1,2005,20.774,4.674,890.626,103000000000.0,3113.09,5.84394,28.8,73.072,13.9183,15.27
1,1,2004,20.077,4.71,804.107,85325000000.0,2609.95,4.63448,30.1,72.594,13.7262,17.65
1,1,2003,19.557,4.757,786.414,67863800000.0,2103.38,2.19536,31.3,72.101,13.5465,6.854
1,1,2002,19.27,4.814,730.809,56760300000.0,1781.83,1.59164,32.4,71.605,13.3747,6.854
1,1,2001,19.257,4.882,709.091,54744700000.0,1740.61,0.646114,33.3,71.116,13.2053,6.854
1,1,2000,19.554,4.961,683.295,54790200000.0,1765.02,0.491706,33.9,70.64,13.0334,6.854
1,1,1999,20.175,5.05,652.801,48640600000.0,1588.35,0.199524,34.4,70.183,12.8576,6.854
1,1,1998,21.073,5.148,618.493,48187700000.0,1596.0,0.0202386,34.9,69.745,12.6768,6.854
1,1,1997,22.187,5.257,575.699,48177900000.0,1619.81,0.0102685,35.5,69.323,12.4879,6.854
1,1,1996,23.475,5.375,570.518,46941500000.0,1603.94,0.00173853,36.2,68.919,12.2878,6.854
1,1,1995,24.884,5.499,559.918,41764100000.0,1452.27,0.00176895,37.1,68.54,12.0743,6.854
1,1,1994,26.361,5.624,550.972,42542600000.0,1507.87,0.000360674,38.1,68.194,11.8459,6.854
2,2,2014,43.182,9.454,312.229,146000000000.0,5408.41,21.4,60.5,58.776,21.6105,7.429
2,2,2013,43.847,9.921,280.215,137000000000.0,5254.88,8.9,63.6,58.054,20.8677,7.454
2,2,2012,44.493,10.451,219.253,128000000000.0,5100.1,6.5,67.3,57.236,20.1395,7.359
2,2,2011,45.102,11.039,207.013,112000000000.0,4615.47,3.1,71.5,56.33,19.4278,7.362
2,2,2010,45.656,11.68,206.454,83799500000.0,3587.88,2.8,76.0,55.35,18.7345,9.089
